#           k/h    P           
   0.310691E-02   0.108336E+05
   0.313813E-02   0.109217E+05
   0.316967E-02   0.110102E+05
   0.320153E-02   0.110993E+05
   0.323370E-02   0.111889E+05
   0.326620E-02   0.112789E+05
   0.329903E-02   0.113695E+05
   0.333218E-02   0.114605E+05
   0.336567E-02   0.115521E+05
   0.339950E-02   0.116441E+05
   0.343366E-02   0.117367E+05
   0.346817E-02   0.118297E+05
   0.350303E-02   0.119232E+05
   0.353823E-02   0.120172E+05
   0.357379E-02   0.121117E+05
   0.360971E-02   0.122066E+05
   0.364599E-02   0.123020E+05
   0.368263E-02   0.123979E+05
   0.371964E-02   0.124943E+05
   0.375702E-02   0.125911E+05
   0.379478E-02   0.126884E+05
   0.383292E-02   0.127861E+05
   0.387144E-02   0.128843E+05
   0.391035E-02   0.129829E+05
   0.394965E-02   0.130820E+05
   0.398935E-02   0.131815E+05
   0.402944E-02   0.132814E+05
   0.406994E-02   0.133818E+05
   0.411084E-02   0.134826E+05
   0.415215E-02   0.135838E+05
   0.419388E-02   0.136854E+05
   0.423603E-02   0.137875E+05
   0.427861E-02   0.138899E+05
   0.432161E-02   0.139928E+05
   0.436504E-02   0.140960E+05
   0.440891E-02   0.141996E+05
   0.445322E-02   0.143036E+05
   0.449797E-02   0.144080E+05
   0.454318E-02   0.145127E+05
   0.458884E-02   0.146178E+05
   0.463496E-02   0.147232E+05
   0.468154E-02   0.148290E+05
   0.472859E-02   0.149351E+05
   0.477611E-02   0.150416E+05
   0.482411E-02   0.151484E+05
   0.487260E-02   0.152554E+05
   0.492157E-02   0.153628E+05
   0.497103E-02   0.154705E+05
   0.502099E-02   0.155785E+05
   0.507145E-02   0.156868E+05
   0.512242E-02   0.157953E+05
   0.517390E-02   0.159041E+05
   0.522590E-02   0.160131E+05
   0.527842E-02   0.161224E+05
   0.533147E-02   0.162319E+05
   0.538505E-02   0.163416E+05
   0.543917E-02   0.164515E+05
   0.549384E-02   0.165617E+05
   0.554905E-02   0.166720E+05
   0.560482E-02   0.167825E+05
   0.566115E-02   0.168932E+05
   0.571805E-02   0.170040E+05
   0.577551E-02   0.171149E+05
   0.583356E-02   0.172260E+05
   0.589219E-02   0.173372E+05
   0.595140E-02   0.174485E+05
   0.601122E-02   0.175599E+05
   0.607163E-02   0.176714E+05
   0.613265E-02   0.177829E+05
   0.619429E-02   0.178945E+05
   0.625654E-02   0.180061E+05
   0.631942E-02   0.181178E+05
   0.638293E-02   0.182294E+05
   0.644708E-02   0.183411E+05
   0.651187E-02   0.184527E+05
   0.657732E-02   0.185642E+05
   0.664342E-02   0.186758E+05
   0.671019E-02   0.187872E+05
   0.677763E-02   0.188986E+05
   0.684574E-02   0.190098E+05
   0.691455E-02   0.191210E+05
   0.698404E-02   0.192320E+05
   0.705423E-02   0.193428E+05
   0.712512E-02   0.194534E+05
   0.719673E-02   0.195639E+05
   0.726906E-02   0.196742E+05
   0.734212E-02   0.197842E+05
   0.741591E-02   0.198940E+05
   0.749044E-02   0.200035E+05
   0.756572E-02   0.201127E+05
   0.764175E-02   0.202216E+05
   0.771855E-02   0.203302E+05
   0.779613E-02   0.204384E+05
   0.787448E-02   0.205462E+05
   0.795362E-02   0.206537E+05
   0.803355E-02   0.207607E+05
   0.811429E-02   0.208673E+05
   0.819585E-02   0.209735E+05
   0.827821E-02   0.210791E+05
   0.836141E-02   0.211843E+05
   0.844544E-02   0.212889E+05
   0.853032E-02   0.213930E+05
   0.861605E-02   0.214965E+05
   0.870265E-02   0.215994E+05
   0.879011E-02   0.217016E+05
   0.887845E-02   0.218033E+05
   0.896768E-02   0.219042E+05
   0.905781E-02   0.220044E+05
   0.914884E-02   0.221039E+05
   0.924079E-02   0.222027E+05
   0.933366E-02   0.223006E+05
   0.942746E-02   0.223978E+05
   0.952221E-02   0.224941E+05
   0.961791E-02   0.225896E+05
   0.971457E-02   0.226841E+05
   0.981221E-02   0.227778E+05
   0.991082E-02   0.228704E+05
   0.100104E-01   0.229621E+05
   0.101110E-01   0.230528E+05
   0.102127E-01   0.231425E+05
   0.103153E-01   0.232311E+05
   0.104190E-01   0.233186E+05
   0.105237E-01   0.234049E+05
   0.106294E-01   0.234901E+05
   0.107363E-01   0.235741E+05
   0.108442E-01   0.236569E+05
   0.109532E-01   0.237385E+05
   0.110632E-01   0.238187E+05
   0.111744E-01   0.238976E+05
   0.112867E-01   0.239752E+05
   0.114002E-01   0.240513E+05
   0.115147E-01   0.241261E+05
   0.116305E-01   0.241994E+05
   0.117473E-01   0.242712E+05
   0.118654E-01   0.243415E+05
   0.119847E-01   0.244103E+05
   0.121051E-01   0.244774E+05
   0.122268E-01   0.245430E+05
   0.123496E-01   0.246068E+05
   0.124738E-01   0.246690E+05
   0.125991E-01   0.247295E+05
   0.127257E-01   0.247882E+05
   0.128536E-01   0.248451E+05
